Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
India,IND,2017,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,1368250000000
India,IND,2016,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,1206200000000
India,IND,2015,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,1300030000000
India,IND,2014,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,752759300000
India,IND,2013,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,1278900000000
India,IND,2012,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,710300000000
India,IND,2011,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,673900000000
India,IND,2010,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,713970000000
India,IND,2009,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,442680000000
India,IND,2008,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,-192280000000
India,IND,2007,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,874450000000
India,IND,2006,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,61110000000
India,IND,2005,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,377370000000
India,IND,2004,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,594010000000
India,IND,2003,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,-154550000000
India,IND,2002,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,99740000000
India,IND,2001,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,377990000000
India,IND,2000,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,331880000000
India,IND,1999,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,400450000000
India,IND,1998,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,334230000000
India,IND,1997,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,319830000000
India,IND,1996,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,382650000000
