Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
India,IND,2010,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,3699.181396
India,IND,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,3699.181396
India,IND,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,3699.181396
India,IND,2010,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.115484746
India,IND,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.115484746
India,IND,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.115484746
India,IND,2010,Urban land area (sq. km),AG.LND.TOTL.UR.K2,222688.2344
India,IND,2000,Urban land area (sq. km),AG.LND.TOTL.UR.K2,222688.2344
India,IND,1990,Urban land area (sq. km),AG.LND.TOTL.UR.K2,222688.2344
India,IND,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,99.2068023681641
India,IND,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,98.5279083251953
India,IND,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,97.5
India,IND,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,97.1729583740234
India,IND,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.5008087158203
India,IND,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.1
India,IND,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,92.9
India,IND,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,94
India,IND,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,96.1
India,IND,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,93.2758941650391
India,IND,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,92.6676330566406
India,IND,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,93.1
India,IND,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,91.4904251098633
India,IND,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,90.9216766357422
India,IND,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,90.3661727905273
India,IND,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,89.8211898803711
India,IND,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,87.6
India,IND,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,88.7408828735352
India,IND,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,91.3
India,IND,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,87.6364364624023
India,IND,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,87.0612640380859
India,IND,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,86.4649353027344
India,IND,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,85.8496932983398
India,IND,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,85.2193145751953
India,IND,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,82.8
India,IND,2017,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,90.8732104688993
India,IND,2016,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,89.6721769313919
India,IND,2015,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,89.3033342970921
India,IND,2014,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,89.6223826850868
India,IND,2013,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,91.8047916056206
